Number of Spheres: 1000
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.352096
log(r) Normal with mean -3.07625, variance 0.1
Mean coordination No. 11.06
0.0408974 0.577864 0.545448 0.051477
0.299981 0.588313 0.325147 0.0379366
0.408709 0.808824 0.826514 0.0385712
0.185484 0.131696 0.702789 0.0527981
0.775017 0.691634 0.0130541 0.0471826
0.828204 0.96082 0.987907 0.0794207
0.482007 0.405466 0.76824 0.0510196
0.331959 0.300161 0.72443 0.0613261
0.483934 0.374748 0.117844 0.0699004
0.349151 0.280093 0.339519 0.0460194
0.0231316 0.279939 0.43992 0.0486926
0.171033 0.506648 0.877145 0.0309729
0.253409 0.879124 0.915092 0.0601032
0.0548451 0.0804552 0.0430906 0.101615
0.647754 0.941136 0.911084 0.0412291
0.263567 0.361162 0.757037 0.0359456
0.374695 0.229897 0.984495 0.0285869
0.961735 0.346415 0.49082 0.0551313
0.148201 0.571143 0.738581 0.0582037
0.11606 0.846927 0.619633 0.0617134
0.521054 0.790006 0.297689 0.0374994
0.49147 0.855797 0.949192 0.0409855
0.697229 0.543678 0.204845 0.0874917
0.984063 0.437206 0.471465 0.0403472
0.258629 0.43589 0.819799 0.025209
0.424047 0.772956 0.0722666 0.0562547
0.638682 0.176261 0.392351 0.0357271
0.364332 0.0917881 0.613633 0.0762782
0.24317 0.0460671 0.0821493 0.0612641
0.664921 0.58246 0.0737475 0.0529874
0.260008 0.54252 0.253615 0.0559333
0.934076 0.247019 0.086588 0.0417643
0.824316 0.751659 0.254166 0.0733751
0.987117 0.337451 0.838911 0.0406994
0.693989 0.373101 0.0172954 0.0531325
0.50306 0.828143 0.467553 0.0621671
0.205372 0.431112 0.356635 0.0521873
0.998886 0.314017 0.734402 0.066624
0.596621 0.824802 0.668359 0.046431
0.423388 0.476427 0.256522 0.0414417
0.527519 0.762146 0.229673 0.0362846
0.966495 0.753201 0.0606099 0.10066
0.747747 0.0529556 0.279512 0.0429548
0.138582 0.247099 0.331434 0.0259384
0.942314 0.120673 0.971749 0.0340608
0.53625 0.891579 0.398708 0.0371569
0.0556747 0.729898 0.520093 0.103363
0.0854812 0.753071 0.392304 0.0260446
0.574025 0.197986 0.421183 0.0383249
0.0417782 0.0443816 0.675668 0.0486776
0.542342 0.10143 0.57258 0.0854156
0.408419 0.540053 0.099199 0.0449546
0.146143 0.402802 0.486237 0.063764
0.61663 0.894722 0.430932 0.0494986
0.786863 0.490846 0.870894 0.0452522
0.0714025 0.898077 0.795659 0.0430707
0.446367 0.452832 0.189829 0.0329412
0.195908 0.362149 0.111732 0.0594115
0.122515 0.947995 0.207982 0.0471087
0.0331791 0.969024 0.402305 0.0518699
0.39239 0.678383 0.594449 0.0595663
0.264166 0.40473 0.529283 0.059518
0.380959 0.672654 0.270913 0.0591317
0.637169 0.0449948 0.669796 0.0562726
0.0785534 0.70432 0.00643842 0.0330595
0.361346 0.447299 0.306011 0.0430969
0.715733 0.702987 0.220627 0.0502533
0.102332 0.916535 0.316124 0.0673105
0.331139 0.62889 0.725093 0.0531077
0.99778 0.510678 0.660993 0.0517261
0.826188 0.642929 0.551833 0.051916
0.229679 0.958941 0.866353 0.0363816
0.421991 0.209572 0.0663651 0.0368721
0.108406 0.305554 0.287109 0.0533848
0.525645 0.342281 0.514715 0.0352706
0.0746459 0.588992 0.649626 0.0585949
0.0826794 0.138779 0.916966 0.0401031
0.191119 0.812867 0.85956 0.0464509
0.256695 0.21432 0.228649 0.0325198
0.286412 0.144858 0.181282 0.0470388
0.14803 0.812703 0.401315 0.0608433
0.0750965 0.347419 0.00118318 0.0314445
0.762207 0.335798 0.23416 0.0687794
0.0664292 0.182246 0.38591 0.0430018
0.572634 0.406882 0.153407 0.0309124
0.648146 0.615348 0.301515 0.0424732
0.735433 0.736288 0.422813 0.0341941
0.965218 0.551763 0.026314 0.0425215
0.429539 0.0162053 0.0296582 0.0339281
0.0305682 0.504288 0.396221 0.0682127
0.267666 0.265757 0.788619 0.0358203
0.484751 0.126859 0.20849 0.0454777
0.911368 0.685668 0.446522 0.0645462
0.268749 0.551037 0.887388 0.033112
0.732443 0.217984 0.926598 0.0445672
0.673283 0.853242 0.757531 0.0745544
0.740624 0.997649 0.487014 0.0455211
0.745998 0.492353 0.636275 0.0559127
0.980995 0.606006 0.416021 0.0439148
0.550672 0.557695 0.4808 0.074765
0.721046 0.142799 0.519396 0.0333207
0.357712 0.339048 0.514866 0.0522802
0.378092 0.403683 0.952155 0.0386978
0.541976 0.926355 0.494241 0.0467515
0.54798 0.470376 0.245808 0.0837572
0.572797 0.482116 0.382085 0.0463727
0.525041 0.895906 0.232302 0.0455032
0.139928 0.316469 0.540426 0.0377125
0.289864 0.306194 0.0356034 0.0457029
0.809163 0.0387151 0.572093 0.0433181
0.804841 0.691721 0.470962 0.0449155
0.147431 0.3002 0.465358 0.0394646
0.518324 0.812634 0.650019 0.032752
0.790079 0.61556 0.0579519 0.0424277
0.505846 0.0146777 0.503774 0.0288488
0.158105 0.155666 0.54133 0.039072
0.837674 0.275991 0.364672 0.0933952
0.817029 0.416495 0.294071 0.0457053
0.785798 0.935664 0.613724 0.0474502
0.206624 0.30309 0.0355402 0.0375833
0.86981 0.594235 0.406596 0.0435328
0.136359 0.427221 0.0734884 0.0363912
0.76011 0.073347 0.602995 0.024214
0.359691 0.403385 0.627826 0.0777317
0.410991 0.635219 0.151867 0.0616142
0.841351 0.926728 0.691034 0.0264772
0.681536 0.14356 0.240879 0.0634801
0.350573 0.597934 0.64001 0.0394946
0.0242787 0.549311 0.737733 0.0379576
0.726576 0.914943 0.914802 0.0419143
0.685633 0.355846 0.7525 0.053735
0.823925 0.1154 0.437558 0.0270961
0.967375 0.347423 0.371718 0.0548434
0.683233 0.338164 0.302425 0.0348041
0.238168 0.368559 0.429786 0.049496
0.829571 0.472462 0.181787 0.0645539
0.160645 0.663255 0.661892 0.055691
0.678093 0.26651 0.488015 0.051292
0.352295 0.714435 0.683344 0.0444037
0.146142 0.896578 0.501564 0.0698556
0.392651 0.288159 0.0417907 0.0505367
0.536139 0.150678 0.347546 0.0529375
0.985065 0.19632 0.568621 0.0557739
0.819798 0.817911 0.494852 0.0465743
0.719268 0.669636 0.646533 0.0461227
0.3774 0.604729 0.829366 0.0634967
0.182005 0.70486 0.741326 0.0364877
0.459488 0.602025 0.898087 0.0435941
0.212582 0.00072698 0.279333 0.0286741
0.140824 0.932555 0.758046 0.0430847
0.922122 0.253367 0.249146 0.0454886
0.818274 0.187122 0.71674 0.0534216
0.975053 0.874197 0.364618 0.0654433
0.968104 0.42521 0.571282 0.0576664
0.857947 0.388906 0.729204 0.036151
0.860154 0.938995 0.134704 0.0274642
0.200275 0.471838 0.275123 0.0390752
0.955343 0.0321119 0.451159 0.0368341
0.607989 0.987635 0.418583 0.044628
0.46797 0.382235 0.0226651 0.0262864
0.684085 0.133175 0.345985 0.0421685
0.727126 0.629245 0.730317 0.046572
0.523178 0.298124 0.916377 0.053679
0.519179 0.264013 0.60073 0.0812039
0.914287 0.99114 0.362398 0.0592672
0.774763 0.109417 0.390502 0.0265949
0.800219 0.0396689 0.710387 0.0952684
0.621006 0.639022 0.230585 0.0370762
0.770244 0.0917381 0.52465 0.03778
0.534659 0.611648 0.644838 0.0652924
0.0127427 0.871704 0.716268 0.0502667
0.605772 0.382904 0.348939 0.0633047
0.886401 0.752594 0.551944 0.0627964
0.354686 0.701263 0.503893 0.0411585
0.718801 0.216375 0.328275 0.0442925
0.764201 0.388553 0.538981 0.0448861
0.31453 0.487645 0.0982643 0.0532565
0.792886 0.594783 0.464829 0.0529486
0.643667 0.961828 0.515303 0.0616433
0.586439 0.295791 0.856246 0.0325406
0.792466 0.370898 0.0367549 0.0472722
0.0691499 0.976208 0.830502 0.041364
0.711319 0.565249 0.900751 0.034417
0.745571 0.465303 0.0808233 0.0669789
0.944528 0.849212 0.602926 0.0609493
0.234752 0.153624 0.849125 0.0310382
0.0386527 0.591243 0.081604 0.0575203
0.674377 0.0478183 0.979569 0.0361304
0.339721 0.466136 0.533626 0.0367509
0.0977456 0.125706 0.599527 0.0345992
0.291871 0.982957 0.92266 0.0508828
0.573366 0.0585763 0.339805 0.0467045
0.109452 0.261125 0.39747 0.0475874
0.233301 0.728375 0.918419 0.0602031
0.282028 0.91555 0.68674 0.0528268
0.178735 0.736717 0.0913487 0.0356425
0.948589 0.997936 0.947921 0.0527491
0.21136 0.604512 0.616855 0.0336267
0.256478 0.187989 0.024503 0.0343234
