Number of Spheres: 1000
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.36
log(r) Normal with mean -3.05133, variance 0.1
Mean coordination No. 10.842
0.750116 0.800026 0.561327 0.0467543
0.822655 0.848794 0.98469 0.0391073
0.578989 0.963906 0.141804 0.0530125
0.442323 0.866567 0.0291358 0.0553667
0.533992 0.840795 0.108342 0.062009
0.565042 0.937074 0.35088 0.0539793
0.175342 0.237477 0.441759 0.0537973
0.940857 0.70359 0.812412 0.0456845
0.911086 0.692624 0.270718 0.0327278
0.167732 0.984556 0.119593 0.05867
0.346732 0.117559 0.257678 0.064104
0.212467 0.630992 0.986107 0.0382781
0.944727 0.0375417 0.417842 0.0589984
0.0566669 0.869133 0.36073 0.0449559
0.457636 0.353692 0.134888 0.100929
0.747713 0.340354 0.904256 0.0399259
0.593672 0.672209 0.369767 0.0514543
0.559618 0.718783 0.110914 0.0442672
0.819243 0.393259 0.555576 0.0382847
0.75639 0.816431 0.381423 0.0224443
0.164759 0.0934496 0.960264 0.0451146
0.648737 0.905282 0.359417 0.0359563
0.871963 0.617514 0.782972 0.0682505
0.184272 0.376112 0.70866 0.045853
0.666517 0.429748 0.208161 0.0580198
0.037047 0.916054 0.622327 0.0521281
0.612952 0.274945 0.752732 0.0675119
0.871944 0.517708 0.794646 0.032236
0.769695 0.570813 0.841269 0.0581531
0.520471 0.24539 0.857144 0.0560541
0.301816 0.753791 0.0441619 0.0382292
0.22332 0.429869 0.630069 0.0482273
0.436952 0.996921 0.638194 0.0528984
0.0247973 0.0109227 0.629729 0.0438146
0.356001 0.355017 0.877333 0.0611923
0.645465 0.275919 0.295499 0.0435881
0.430278 0.889113 0.321151 0.031441
0.673168 0.60156 0.47755 0.0411174
0.67622 0.839475 0.83958 0.0364835
0.404735 0.749414 0.0149917 0.0684794
0.953263 0.528131 0.770569 0.0532111
0.702908 0.765047 0.108863 0.0565705
0.695442 0.23266 0.00699661 0.0773623
0.742859 0.270695 0.275141 0.0475816
0.930811 0.739014 0.22917 0.0325968
0.693056 0.559315 0.16831 0.0588753
0.268462 0.0968623 0.842771 0.0566661
0.266859 0.370897 0.222071 0.0376613
0.596598 0.553275 0.109664 0.0480625
0.326807 0.94051 0.848423 0.0247348
0.267805 0.0591817 0.529523 0.0441893
0.910229 0.575214 0.580306 0.0334902
0.41387 0.609522 0.128035 0.0600615
0.175536 0.680498 0.790972 0.0586712
0.548665 0.851176 0.987968 0.0596997
0.72844 0.501136 0.638397 0.0369364
0.891733 0.932031 0.583314 0.0350667
0.671637 0.624861 0.324902 0.0490639
0.157097 0.877554 0.652206 0.0420685
0.886025 0.458234 0.113528 0.0543839
0.242116 0.0857068 0.999917 0.0421579
0.79647 0.623065 0.686066 0.0547153
0.6423 0.452682 0.698969 0.0789813
0.423295 0.563894 0.272387 0.0916237
0.728056 0.843682 0.132871 0.029408
0.222228 0.629625 0.245582 0.0690258
0.226401 0.613431 0.529707 0.0466991
0.0593764 0.823832 0.507031 0.0562009
0.983861 0.159839 0.0464109 0.0331034
0.8948 0.117855 0.218048 0.0473931
0.501384 0.990568 0.809532 0.0442223
0.722825 0.46272 0.821752 0.0612697
0.620146 0.0344946 0.803499 0.0781535
0.921975 0.853232 0.976218 0.0599954
0.111039 0.510055 0.338172 0.0562822
0.701021 0.107314 0.962894 0.0556336
0.312996 0.707685 0.760534 0.0411973
0.755251 0.381251 0.220429 0.0405311
0.761948 0.99823 0.939755 0.0714368
0.249976 0.0293464 0.139736 0.0371217
0.118329 0.824639 0.121434 0.0630739
0.739925 0.698089 0.305078 0.0488064
0.161919 0.592872 0.831238 0.03872
0.728703 0.946681 0.405803 0.0653361
0.287637 0.437748 0.584913 0.0307524
0.00405292 0.7732 0.838968 0.0520109
0.421994 0.594798 0.00791734 0.0343166
0.660033 0.450206 0.362548 0.0529491
0.573628 0.174202 0.785088 0.0453713
0.532612 0.870063 0.561793 0.0266605
0.790785 0.591896 0.541618 0.0931662
0.392828 0.328555 0.580227 0.0531405
0.267113 0.594851 0.97219 0.0286999
0.675398 0.617179 0.886337 0.0561829
0.878781 0.82273 0.299633 0.0563393
0.252881 0.500358 0.29317 0.0720912
0.662875 0.817347 0.924774 0.0525438
0.856579 0.547971 0.175627 0.0307662
0.841802 0.104037 0.637872 0.0517705
0.206121 0.940207 0.652994 0.0374891
0.132752 0.991406 0.83175 0.0640601
0.924125 0.333506 0.735345 0.0587498
0.938374 0.961329 0.251043 0.0312876
0.884821 0.630682 0.882815 0.0332744
0.990931 0.400349 0.474297 0.0627868
0.149943 0.161918 0.00383782 0.0373843
0.834756 0.730646 0.300201 0.0457299
0.982184 0.280726 0.498709 0.0547073
0.392057 0.503187 0.802304 0.0502107
0.939816 0.967383 0.934929 0.0617578
0.0607026 0.587657 0.639221 0.0356729
0.790832 0.961196 0.803796 0.0465938
0.356853 0.990931 0.796157 0.0538577
0.189771 0.848604 0.266491 0.0455644
0.463256 0.621359 0.754457 0.0955171
0.43558 0.255322 0.874386 0.0311381
0.160559 0.133378 0.710222 0.0716919
0.0124499 0.822242 0.740244 0.0585431
0.162574 0.0621655 0.156375 0.0273693
0.9237 0.7463 0.0505057 0.0702203
0.883273 0.925245 0.319023 0.0434567
0.941898 0.436892 0.733288 0.046004
0.00494988 0.625063 0.790597 0.0579642
0.73799 0.689516 0.0609532 0.0371494
0.0443775 0.0497849 0.117659 0.0331334
0.052894 0.959119 0.923689 0.0521775
0.696105 0.681393 0.416955 0.0616983
0.10039 0.395366 0.191281 0.0341532
0.346042 0.361977 0.0441886 0.0361925
0.230271 0.122292 0.922871 0.0356442
0.689025 0.938663 0.519757 0.0555947
0.702254 0.0448484 0.632581 0.0999034
0.130461 0.575404 0.585229 0.0531157
0.283184 0.220833 0.71875 0.0357796
0.848553 0.103952 0.386327 0.0607174
0.586441 0.860031 0.464516 0.0849686
0.234568 0.865817 0.827507 0.0522884
0.61842 0.468422 0.940847 0.0436672
0.793067 0.635794 0.238683 0.0421797
0.436837 0.901782 0.134204 0.0555813
0.923578 0.333545 0.829372 0.0352792
0.736082 0.81091 0.00877596 0.0584132
0.629456 0.820649 0.107999 0.0355575
0.066182 0.720715 0.763823 0.0587212
0.935988 0.473608 0.383401 0.052634
0.972593 0.840653 0.338141 0.0466399
0.132541 0.69906 0.682982 0.0480836
0.202306 0.13817 0.606537 0.0401842
0.993675 0.464997 0.805441 0.0294629
0.160432 0.564531 0.478575 0.0500207
0.281339 0.467224 0.51436 0.0459693
0.258197 0.323262 0.957893 0.0295667
0.267621 0.906354 0.900233 0.0372927
0.218592 0.729273 0.318758 0.0546584
0.0989387 0.09609 0.426327 0.0349402
0.19633 0.536014 0.833436 0.0266452
0.787749 0.53686 0.657079 0.0347764
0.822895 0.743296 0.489642 0.0700955
0.345941 0.453309 0.929655 0.0506113
0.877417 0.694074 0.203364 0.0418108
0.242058 0.176383 0.516937 0.0638258
0.459581 0.0883196 0.230269 0.0556502
0.618378 0.492194 0.16451 0.0321038
0.946018 0.56512 0.475579 0.0776421
0.82957 0.477756 0.783351 0.0270874
0.0321931 0.164048 0.81987 0.0671652
0.165773 0.578763 0.315723 0.0343849
0.599332 0.217484 0.332528 0.0395633
0.15215 0.111425 0.849601 0.0588196
0.141994 0.99964 0.690872 0.0518403
0.949308 0.249082 0.417468 0.0384719
0.55155 0.0303593 0.488143 0.0299731
0.0720623 0.0200714 0.420247 0.0346507
0.45222 0.0598064 0.530348 0.0294531
0.385918 0.418044 0.717459 0.0456574
0.675196 0.898039 0.986991 0.050091
0.026293 0.095393 0.56215 0.0407668
0.382109 0.678798 0.251134 0.0322752
0.12825 0.905534 0.234808 0.0292704
0.48971 0.748829 0.487098 0.064138
0.588911 0.465494 0.104085 0.0402313
0.418328 0.702704 0.164066 0.0399438
0.417479 0.846618 0.51957 0.0616963
0.721373 0.586829 0.251172 0.0329119
0.136791 0.634172 0.444362 0.0310928
0.277093 0.830993 0.311461 0.0492888
0.284646 0.275068 0.606154 0.046447
0.605714 0.107472 0.307594 0.0368729
0.273758 0.501005 0.874781 0.0465818
0.317396 0.874607 0.766489 0.0509634
0.655846 0.133463 0.749496 0.0401072
